centre_id,crop_type,quantity,farmers_ahead,current_queue_length,active_counters,staff_count,staff_availability,average_processing_time,current_processing_speed,time_of_day,day_of_week,seasonal_flag,no_show_rate,queue_growth_rate,equipment_status,operational_delay_flag,actual_wait_minutes,is_synthetic
1,Maize,7.9,13,15,3,3,0.81,12.8,0.99,14,5,1,0.1,0.9,1,0,54.1,True
3,Mustard,17.9,7,8,2,3,0.84,12.2,0.98,9,0,0,0.17,0.3,0,1,61.7,True
10,Wheat,52.3,11,18,1,3,0.8,18.3,0.86,14,3,1,0.08,-0.32,0,1,256.2,True
10,Wheat,15.4,17,27,4,5,0.76,19.1,1.19,10,3,1,0.07,-0.39,1,0,72.3,True
2,Cotton,16.5,22,24,2,3,0.75,18.8,0.97,15,4,1,0.17,-0.34,1,0,213.6,True
4,Paddy,13.1,24,33,3,4,0.84,19.8,1.1,12,4,0,0.19,-0.2,1,0,147.6,True
8,Paddy,44.2,30,38,1,2,0.82,14.0,1.12,13,5,0,0.16,-0.13,0,1,396.1,True
6,Cotton,42.6,11,15,3,3,0.76,19.5,0.82,8,4,0,0.17,1.14,0,1,113.1,True
6,Cotton,49.6,16,16,3,4,0.9,13.8,1.05,8,6,0,0.06,1.38,1,0,75.4,True
1,Paddy,31.6,11,17,2,3,0.71,19.6,0.81,12,1,0,0.08,0.5,1,0,128.6,True
7,Maize,31.3,11,17,1,2,0.99,18.0,0.88,13,3,0,0.13,0.58,1,0,227.1,True
9,Cotton,51.2,25,31,4,6,0.94,10.4,1.18,13,4,0,0.1,1.16,0,1,79.3,True
7,Mustard,12.3,9,10,2,4,0.94,16.7,0.95,8,2,0,0.15,-0.08,1,0,83.5,True
4,Mustard,42.0,1,6,4,6,0.91,13.0,1.1,11,5,1,0.15,0.51,1,0,9.6,True
5,Paddy,20.4,26,36,4,6,0.97,18.3,0.9,9,1,0,0.12,1.37,1,0,131.4,True
7,Cotton,6.8,30,39,3,5,0.96,10.8,1.13,12,1,0,0.1,1.19,1,0,89.7,True
2,Mustard,59.8,15,23,2,2,0.77,17.4,0.92,11,6,1,0.19,0.9,1,0,142.8,True
1,Cotton,8.9,19,24,1,3,0.76,16.5,1.01,15,3,1,0.08,-0.22,1,0,312.9,True
6,Paddy,55.2,5,10,2,3,0.75,19.4,0.86,14,1,1,0.11,0.36,1,0,56.4,True
1,Paddy,20.2,14,21,2,2,0.73,19.4,0.94,10,4,1,0.12,-0.08,0,1,166.8,True
2,Paddy,25.4,22,27,4,6,0.91,15.6,0.87,12,2,0,0.07,0.36,1,0,96.2,True
8,Wheat,44.5,13,23,4,5,0.71,15.7,0.87,14,1,1,0.13,0.79,1,0,56.8,True
6,Wheat,11.0,27,37,4,4,0.8,11.4,0.86,12,0,0,0.09,1.3,0,1,111.7,True
4,Paddy,38.0,6,10,1,3,0.84,16.4,1.11,12,1,0,0.08,0.16,0,1,111.9,True
7,Maize,17.8,26,30,3,5,0.73,12.0,1.01,16,1,0,0.15,1.41,1,0,107.6,True
6,Wheat,38.5,4,12,3,5,0.93,16.5,0.93,15,5,1,0.09,0.73,1,0,21.5,True
6,Maize,14.7,7,7,3,4,0.88,11.4,1.01,13,0,0,0.05,0.24,1,0,25.7,True
2,Cotton,55.5,27,37,1,1,0.72,13.0,0.88,15,2,1,0.18,1.45,1,0,396.2,True
10,Mustard,59.7,14,14,4,6,0.88,12.4,1.03,13,2,0,0.15,0.54,1,0,38.6,True
6,Wheat,8.7,26,31,3,5,0.89,13.8,1.09,9,1,0,0.12,1.34,1,0,109.8,True
7,Maize,22.0,17,25,1,1,0.74,16.1,0.95,10,3,1,0.07,-0.1,1,0,290.7,True
10,Mustard,34.4,15,18,3,3,0.81,13.3,0.84,17,6,0,0.09,0.52,1,0,77.3,True
10,Mustard,45.4,19,27,1,2,0.78,14.7,1.11,14,6,1,0.19,-0.35,1,0,250.9,True
1,Paddy,44.6,17,19,1,1,0.72,15.1,1.12,11,4,1,0.11,-0.33,1,0,229.7,True
7,Wheat,47.9,28,37,3,4,0.92,15.9,0.93,15,6,1,0.07,0.27,1,0,158.2,True
5,Cotton,11.9,29,39,4,5,0.9,14.9,1.13,17,6,0,0.14,1.44,1,0,99.6,True
6,Cotton,20.4,14,14,3,3,0.81,12.3,1.07,17,0,0,0.19,-0.1,0,1,80.4,True
7,Mustard,12.0,3,3,1,1,0.88,14.2,0.82,15,4,1,0.17,-0.17,1,0,53.1,True
7,Cotton,21.8,22,32,3,3,0.86,18.0,1.15,15,2,1,0.1,-0.15,1,0,112.9,True
10,Mustard,21.2,4,12,3,5,0.71,10.7,0.81,8,4,0,0.17,-0.22,0,1,41.4,True
10,Cotton,19.4,15,15,1,1,0.72,11.1,0.97,10,5,1,0.14,0.37,1,0,172.5,True
10,Paddy,22.0,25,32,1,3,0.7,16.5,1.14,17,1,0,0.09,-0.18,1,0,360.8,True
10,Wheat,13.6,5,15,3,3,0.76,12.1,1.15,12,4,0,0.1,0.26,0,1,46.7,True
3,Cotton,47.9,20,21,3,3,0.7,13.4,1.06,14,0,1,0.17,-0.07,1,0,84.8,True
5,Wheat,12.5,19,24,1,1,0.9,17.6,0.89,17,5,0,0.1,-0.1,0,1,398.6,True
4,Cotton,45.7,14,23,2,2,0.87,12.0,0.82,13,5,0,0.12,0.8,0,1,124.9,True
3,Mustard,43.3,0,8,3,3,0.88,19.3,0.93,14,3,1,0.09,-0.44,1,0,3.0,True
9,Maize,31.9,18,20,1,2,0.88,15.1,1.15,9,1,0,0.2,0.48,0,1,264.5,True
2,Paddy,54.0,22,31,4,5,0.85,10.1,1.18,16,3,0,0.18,0.91,1,0,45.0,True
8,Paddy,44.5,13,23,4,6,0.91,18.6,1.16,17,0,0,0.11,0.8,0,1,80.4,True
10,Wheat,10.2,16,21,4,5,0.79,13.9,1.07,8,6,0,0.07,1.04,1,0,58.7,True
6,Cotton,19.0,19,29,4,5,0.77,17.2,0.8,13,2,0,0.13,1.22,0,1,132.7,True
9,Paddy,10.5,26,33,2,2,0.87,14.2,1.07,10,5,1,0.12,0.74,1,0,172.4,True
8,Mustard,37.5,7,16,2,3,0.97,19.4,1.13,8,4,0,0.06,-0.1,0,1,83.0,True
6,Paddy,5.2,25,33,4,5,0.78,19.7,1.14,16,1,0,0.18,1.41,1,0,105.2,True
5,Maize,59.5,26,33,2,4,0.75,12.1,1.09,16,2,0,0.16,0.14,1,0,144.4,True
10,Cotton,51.8,25,25,2,2,0.8,14.3,1.19,8,2,0,0.2,0.66,1,0,150.0,True
3,Paddy,36.8,16,25,1,1,0.93,19.3,1.08,11,1,1,0.11,0.37,0,1,312.6,True
4,Wheat,40.1,19,24,1,2,0.83,18.4,0.82,14,6,1,0.17,0.26,1,0,427.4,True
2,Wheat,35.0,25,33,3,3,0.89,15.9,1.19,8,2,0,0.16,1.14,0,1,136.6,True
10,Wheat,36.9,26,30,4,4,0.79,16.9,0.84,10,6,1,0.08,1.41,0,1,158.6,True
2,Maize,23.9,19,25,4,6,0.92,18.1,0.92,17,6,0,0.07,0.46,0,1,119.7,True
2,Mustard,32.3,1,1,3,5,0.71,18.0,0.82,16,6,0,0.08,0.63,0,1,27.4,True
7,Cotton,52.1,3,3,1,3,0.73,13.1,0.97,9,1,0,0.07,-0.47,1,0,39.2,True
7,Cotton,43.3,29,35,4,6,0.88,13.6,0.88,14,6,1,0.08,0.79,0,1,137.2,True
8,Paddy,45.0,21,24,3,3,0.8,11.0,1.15,14,6,1,0.12,1.18,1,0,64.5,True
8,Paddy,57.4,9,11,1,2,0.94,13.7,0.97,11,6,1,0.14,0.46,0,1,149.3,True
4,Wheat,53.2,9,14,1,1,0.95,13.7,1.1,15,5,1,0.16,0.91,1,0,112.2,True
6,Paddy,43.5,13,22,3,5,0.82,11.9,1.09,10,5,1,0.07,1.09,1,0,41.0,True
7,Maize,43.0,30,35,3,5,0.89,11.8,1.0,16,3,0,0.17,-0.32,1,0,117.4,True
4,Paddy,22.6,24,24,1,1,0.88,14.3,0.97,9,6,0,0.17,1.22,1,0,349.2,True
4,Paddy,52.5,25,25,4,4,0.91,20.0,1.04,17,4,0,0.09,1.06,1,0,116.2,True
10,Maize,49.6,2,10,3,5,0.86,18.4,0.81,16,1,0,0.07,1.28,1,0,9.7,True
8,Paddy,47.9,28,31,1,2,0.81,12.0,0.95,16,6,0,0.08,-0.21,0,1,381.9,True
7,Cotton,40.8,2,4,2,4,0.81,10.3,1.19,9,4,0,0.13,0.54,1,0,7.8,True
10,Paddy,40.9,23,23,4,5,0.72,17.2,1.06,12,4,0,0.19,1.48,0,1,113.2,True
3,Wheat,24.5,23,29,4,6,0.89,15.5,1.02,14,5,1,0.18,0.21,1,0,90.5,True
1,Cotton,11.2,16,17,4,6,0.91,16.6,1.11,15,6,1,0.17,-0.09,1,0,59.8,True
3,Cotton,18.3,4,8,2,2,0.9,12.2,0.99,14,6,1,0.16,0.78,1,0,21.8,True
3,Cotton,20.3,27,29,3,5,0.76,17.6,0.88,14,0,1,0.14,0.03,0,1,204.5,True
3,Paddy,31.2,23,23,4,5,0.88,18.0,1.2,8,5,0,0.12,0.13,1,0,87.4,True
8,Paddy,12.2,16,23,4,4,0.94,13.9,1.04,9,6,0,0.08,0.05,0,1,77.5,True
3,Wheat,28.1,23,26,2,3,0.87,14.1,0.97,15,1,1,0.08,0.35,0,1,191.3,True
10,Wheat,10.4,2,6,2,4,0.81,18.1,0.98,9,2,0,0.05,0.18,1,0,17.8,True
4,Maize,39.3,10,17,1,2,0.87,16.3,0.84,16,3,0,0.12,1.47,1,0,196.7,True
8,Mustard,53.9,1,5,3,5,0.88,16.6,0.92,15,5,1,0.19,1.33,1,0,7.5,True
7,Wheat,28.3,10,10,3,4,0.82,18.5,0.89,12,1,0,0.18,1.01,0,1,94.2,True
4,Cotton,6.3,26,32,1,2,0.86,15.8,1.01,8,3,0,0.15,0.39,1,0,411.4,True
7,Paddy,6.2,5,11,3,5,0.98,12.1,1.09,16,1,0,0.16,1.12,1,0,21.3,True
3,Cotton,11.2,22,22,4,6,0.78,19.8,0.9,15,1,1,0.11,0.96,1,0,122.3,True
5,Wheat,48.8,19,27,1,1,0.85,18.3,1.16,17,1,0,0.13,0.5,0,1,323.6,True
3,Paddy,29.4,6,11,2,4,0.85,17.9,1.07,11,3,1,0.07,-0.24,1,0,54.2,True
7,Paddy,49.3,11,19,4,6,0.77,19.4,1.13,14,5,1,0.14,1.11,1,0,48.3,True
7,Maize,52.0,0,9,4,6,0.75,13.4,1.18,12,2,0,0.05,0.28,1,0,3.0,True
3,Mustard,53.0,4,7,1,2,0.85,17.1,1.0,13,0,0,0.12,-0.35,0,1,98.0,True
3,Maize,57.5,19,28,1,2,0.92,11.5,1.04,11,4,1,0.07,0.32,1,0,210.0,True
8,Maize,15.6,29,37,2,3,0.79,16.2,0.94,12,4,0,0.11,0.99,1,0,250.6,True
6,Wheat,57.6,22,27,4,5,0.74,16.3,0.95,17,1,0,0.07,0.87,1,0,92.8,True
6,Mustard,21.6,9,16,2,2,0.84,15.0,1.08,12,6,0,0.1,1.46,1,0,61.9,True
3,Wheat,8.5,7,10,4,4,0.82,12.1,0.97,12,2,0,0.06,-0.18,0,1,48.9,True
1,Mustard,48.0,5,8,3,5,0.99,11.3,1.05,15,5,1,0.2,0.53,1,0,22.3,True
9,Paddy,59.4,13,20,1,2,0.75,19.2,1.06,17,4,0,0.07,0.79,0,1,261.6,True
3,Mustard,9.4,22,30,1,3,0.71,16.9,0.98,11,5,1,0.17,0.44,1,0,376.9,True
8,Wheat,12.6,29,32,1,2,0.74,14.5,0.99,17,6,0,0.14,-0.21,1,0,421.4,True
1,Mustard,45.4,9,14,1,2,0.83,17.5,0.89,11,0,1,0.15,0.39,1,0,171.4,True
9,Wheat,36.9,29,38,3,4,0.92,14.9,0.97,12,1,0,0.08,0.53,0,1,177.4,True
9,Paddy,10.8,9,9,2,3,0.91,13.2,1.11,10,2,1,0.1,-0.0,0,1,81.9,True
9,Cotton,18.0,23,26,2,3,0.79,11.0,0.85,13,2,0,0.05,1.35,1,0,146.0,True
7,Cotton,9.2,5,12,4,6,0.75,13.9,0.9,14,3,1,0.07,-0.19,1,0,23.1,True
10,Maize,54.4,17,23,4,6,0.95,10.9,0.87,16,2,0,0.11,1.43,1,0,51.9,True
6,Maize,42.0,6,9,2,3,0.94,14.7,0.9,8,5,0,0.13,0.12,1,0,50.0,True
1,Paddy,43.7,15,23,4,6,0.92,14.0,1.06,10,4,1,0.17,1.13,1,0,47.9,True
1,Mustard,50.3,10,12,2,3,0.75,14.0,0.96,16,3,0,0.16,0.39,1,0,71.0,True
4,Cotton,15.1,2,2,3,3,0.82,18.5,0.97,15,2,1,0.11,0.05,1,0,12.9,True
9,Wheat,11.3,28,33,4,5,0.83,15.1,0.86,12,4,0,0.12,0.81,0,1,155.4,True
6,Cotton,34.1,20,20,3,4,0.73,13.1,0.87,12,4,0,0.16,0.23,1,0,104.6,True
9,Wheat,43.2,16,26,1,2,0.86,17.4,1.08,15,5,1,0.15,0.39,0,1,282.9,True
9,Cotton,5.7,1,8,1,3,0.77,16.5,1.19,9,0,0,0.08,0.24,0,1,36.8,True
1,Paddy,19.8,25,25,2,4,0.99,19.3,0.91,12,0,0,0.1,-0.13,1,0,269.0,True
10,Paddy,9.7,27,32,1,3,0.89,16.6,1.13,13,3,0,0.13,-0.2,0,1,423.8,True
3,Mustard,58.3,28,36,2,2,0.81,11.3,1.01,15,2,1,0.06,0.93,1,0,152.8,True
9,Mustard,16.3,7,11,1,2,0.92,10.2,1.04,16,6,0,0.08,-0.4,1,0,68.0,True
8,Cotton,27.5,26,26,3,3,0.98,14.4,1.06,11,6,1,0.16,0.87,1,0,116.9,True
3,Maize,22.3,4,9,1,3,0.76,13.5,1.04,12,3,0,0.08,0.07,1,0,49.9,True
7,Paddy,48.4,6,11,1,1,0.74,19.8,0.85,14,6,1,0.05,0.13,0,1,164.8,True
8,Maize,53.8,21,30,3,5,0.76,10.5,1.16,12,4,0,0.15,0.89,1,0,64.1,True
9,Mustard,7.0,28,30,2,4,0.87,18.1,1.14,15,6,1,0.17,1.12,0,1,252.2,True
9,Mustard,16.8,7,9,2,2,0.92,11.3,1.11,14,6,1,0.1,0.19,1,0,37.6,True
2,Paddy,28.3,14,19,2,4,0.94,18.6,1.19,15,3,1,0.07,-0.49,0,1,130.7,True
1,Cotton,21.9,0,8,4,4,0.91,10.7,1.06,17,3,0,0.07,-0.47,1,0,3.0,True
2,Cotton,5.3,25,33,2,2,0.85,12.1,0.93,17,4,0,0.2,1.08,1,0,159.8,True
1,Cotton,22.3,14,21,4,6,0.85,15.7,0.91,9,5,0,0.11,0.61,1,0,63.7,True
9,Mustard,34.8,27,29,2,3,0.76,16.9,1.12,13,3,0,0.19,0.6,1,0,203.5,True
6,Wheat,16.2,18,25,2,3,0.97,14.7,1.06,12,1,0,0.13,0.84,1,0,119.7,True
4,Maize,26.1,4,14,1,3,0.87,14.0,1.04,10,5,1,0.13,0.88,0,1,79.7,True
7,Mustard,52.5,16,18,1,2,0.8,14.7,1.16,12,0,0,0.05,1.28,1,0,199.4,True
9,Wheat,18.8,28,29,1,3,0.98,10.6,0.82,15,6,1,0.12,0.42,0,1,389.1,True
10,Maize,35.0,7,9,1,2,0.76,10.2,1.19,10,5,1,0.17,0.95,1,0,61.0,True
7,Mustard,54.8,12,22,1,1,0.95,10.6,1.05,8,4,0,0.07,0.43,0,1,142.7,True
7,Wheat,33.2,25,31,3,5,0.71,18.7,0.96,11,6,1,0.1,0.33,1,0,167.2,True
3,Mustard,6.1,29,29,3,3,0.89,13.1,0.95,10,1,1,0.16,0.53,1,0,134.5,True
4,Mustard,21.6,3,10,1,3,0.75,19.5,1.13,10,1,1,0.16,0.24,1,0,47.6,True
10,Wheat,37.0,13,14,3,5,0.92,15.5,1.03,11,6,1,0.18,0.05,1,0,63.5,True
4,Mustard,34.8,11,20,2,3,0.89,11.9,0.9,14,2,1,0.19,0.87,0,1,97.7,True
5,Mustard,18.0,14,20,4,6,0.8,12.3,0.82,17,1,0,0.19,-0.48,1,0,56.1,True
10,Paddy,35.0,30,37,2,2,0.73,13.7,1.0,10,5,1,0.13,-0.25,1,0,207.1,True
1,Maize,11.4,25,32,1,1,0.96,14.1,1.17,11,6,1,0.17,0.74,1,0,298.2,True
4,Cotton,44.6,29,35,3,4,0.79,10.1,1.16,17,3,0,0.18,1.45,0,1,106.2,True
3,Maize,43.3,21,21,3,4,0.74,13.4,0.84,15,5,1,0.07,0.95,1,0,109.6,True
9,Paddy,29.9,23,33,4,5,0.83,12.4,1.16,15,1,1,0.19,0.43,1,0,61.4,True
1,Maize,52.5,20,21,4,4,0.94,10.1,1.11,14,4,1,0.09,-0.21,1,0,43.5,True
7,Mustard,24.3,16,19,3,3,0.78,18.8,1.12,11,0,1,0.11,0.3,1,0,86.0,True
10,Cotton,51.2,5,7,4,4,0.94,12.4,1.04,8,2,0,0.05,-0.06,1,0,16.5,True
10,Wheat,57.0,28,34,2,2,0.96,18.8,0.88,16,3,0,0.17,0.52,0,1,326.1,True
4,Maize,45.3,29,33,1,3,0.77,14.4,0.89,16,4,0,0.08,0.08,0,1,491.9,True
5,Paddy,28.9,14,24,4,4,0.87,11.0,1.19,10,4,1,0.14,0.8,1,0,28.3,True
4,Paddy,40.1,4,9,1,2,0.76,15.9,0.85,13,2,0,0.12,0.33,1,0,75.7,True
3,Mustard,13.9,7,14,1,1,0.91,12.0,0.97,14,4,1,0.12,0.63,0,1,111.7,True
9,Wheat,21.7,20,25,3,3,0.89,12.4,0.86,12,5,0,0.11,0.66,0,1,121.8,True
8,Paddy,55.6,19,23,4,5,0.96,19.2,0.87,13,4,0,0.06,-0.26,0,1,123.8,True
8,Paddy,51.9,22,25,4,6,0.74,17.0,1.13,17,3,0,0.19,0.23,1,0,83.1,True
3,Mustard,39.4,30,33,2,3,0.88,15.5,0.85,9,0,0,0.19,0.88,1,0,272.7,True
2,Wheat,39.0,30,34,4,4,0.74,18.4,1.14,13,2,0,0.07,-0.23,0,1,143.2,True
2,Mustard,11.4,24,24,4,4,0.81,11.4,1.12,12,0,0,0.06,1.34,1,0,64.8,True
3,Maize,13.9,8,17,1,3,0.9,16.6,0.93,13,3,0,0.14,1.4,1,0,146.8,True
7,Wheat,32.8,27,31,4,6,0.71,17.5,1.11,12,4,0,0.06,0.7,1,0,110.0,True
3,Wheat,44.7,17,23,2,2,0.79,18.0,0.91,12,5,0,0.1,-0.39,1,0,170.7,True
7,Maize,24.6,6,16,1,2,0.78,11.0,1.14,8,4,0,0.06,-0.25,1,0,53.8,True
10,Wheat,20.3,0,9,2,4,0.79,11.4,0.82,13,3,0,0.14,0.34,1,0,3.5,True
1,Cotton,48.1,25,32,1,3,0.97,12.3,0.99,10,1,1,0.09,0.36,1,0,308.1,True
2,Maize,47.9,7,10,3,4,0.77,14.5,1.1,14,4,1,0.05,0.31,1,0,31.2,True
5,Paddy,57.9,15,20,3,5,0.82,18.9,1.04,14,5,1,0.12,-0.13,1,0,91.0,True
8,Mustard,35.5,16,17,3,5,0.75,19.2,0.85,17,0,0,0.09,-0.04,1,0,117.3,True
10,Cotton,13.6,9,19,4,4,0.96,14.8,1.2,11,1,1,0.1,-0.38,1,0,27.1,True
4,Cotton,7.5,6,8,3,3,0.87,15.8,0.87,11,2,1,0.15,-0.37,1,0,31.8,True
2,Maize,53.5,25,29,3,4,0.95,10.1,1.03,13,0,0,0.12,0.65,0,1,105.7,True
2,Paddy,16.6,4,7,3,5,0.85,11.3,0.93,8,5,0,0.14,1.25,1,0,15.6,True
3,Mustard,34.3,7,12,1,1,0.92,15.5,0.94,8,2,0,0.06,-0.05,0,1,142.7,True
2,Maize,5.6,4,10,4,5,0.75,16.4,1.18,12,0,0,0.11,0.38,1,0,14.9,True
2,Cotton,22.0,21,24,2,3,0.72,17.4,1.03,10,2,1,0.05,0.54,1,0,179.8,True
2,Paddy,39.6,8,12,1,1,0.7,12.2,0.87,17,6,0,0.09,0.05,0,1,137.5,True
8,Cotton,54.2,0,10,4,5,0.83,12.2,1.1,16,5,0,0.13,0.67,1,0,3.0,True
9,Cotton,41.0,6,13,3,5,0.86,15.9,0.83,10,1,1,0.14,0.34,1,0,40.9,True
4,Mustard,9.3,13,20,1,3,0.72,15.7,1.13,16,0,0,0.15,-0.44,1,0,187.3,True
2,Wheat,6.1,11,18,2,4,0.71,10.5,0.86,11,2,1,0.19,1.25,1,0,69.1,True
1,Wheat,37.8,30,33,2,2,0.73,16.8,1.05,12,1,0,0.14,1.27,1,0,238.3,True
2,Wheat,46.0,24,33,2,3,0.86,12.7,1.18,9,2,0,0.2,-0.11,0,1,156.7,True
7,Maize,42.4,21,29,2,4,0.74,19.5,1.1,14,5,1,0.16,0.27,1,0,187.5,True
7,Wheat,51.0,28,33,2,4,1.0,12.8,0.83,14,6,1,0.12,0.1,1,0,220.6,True
10,Mustard,43.0,1,6,4,6,0.71,10.1,0.9,13,3,0,0.09,0.6,1,0,3.0,True
4,Wheat,39.4,20,30,1,3,0.76,14.0,0.82,15,6,1,0.16,0.14,1,0,338.0,True
5,Paddy,39.0,0,6,4,6,0.85,12.2,0.85,11,4,1,0.13,0.97,1,0,3.0,True
8,Mustard,6.1,13,19,2,3,0.97,10.6,1.0,12,0,0,0.1,-0.29,1,0,69.2,True
5,Maize,42.0,1,2,4,6,0.98,15.8,1.05,17,5,0,0.15,1.32,1,0,9.2,True
5,Cotton,44.8,1,7,3,3,0.97,19.4,1.17,15,3,1,0.07,-0.46,0,1,33.8,True
8,Cotton,31.0,30,40,1,1,0.88,14.0,0.87,12,4,0,0.07,0.34,1,0,488.4,True
2,Paddy,51.2,2,3,1,2,0.96,14.6,1.04,12,3,0,0.07,0.24,1,0,31.5,True
4,Cotton,29.2,26,35,4,5,0.77,10.4,1.0,10,1,1,0.18,1.42,1,0,64.0,True
10,Cotton,49.2,26,31,1,3,0.86,12.5,0.91,17,0,0,0.11,0.45,1,0,354.6,True
8,Paddy,31.8,13,19,3,3,0.86,11.5,1.15,9,1,0,0.15,0.74,1,0,42.5,True
5,Cotton,46.8,18,19,4,4,0.83,18.1,0.8,10,1,1,0.08,1.12,1,0,101.7,True
2,Mustard,24.4,2,7,3,5,0.84,19.9,1.02,11,0,1,0.17,1.27,1,0,16.1,True
1,Mustard,15.3,17,19,2,3,0.82,17.9,1.14,14,4,1,0.13,0.96,1,0,135.8,True
2,Cotton,15.4,27,33,4,4,0.88,12.2,0.85,14,3,1,0.06,0.63,1,0,93.2,True
8,Mustard,43.6,9,9,2,2,0.84,11.2,0.89,13,1,0,0.1,0.93,1,0,55.1,True
6,Cotton,60.0,16,19,4,5,0.79,11.1,1.0,15,6,1,0.14,0.44,1,0,49.0,True
3,Paddy,57.7,24,24,1,1,0.92,16.8,0.86,15,6,1,0.14,1.5,1,0,467.9,True
4,Paddy,49.8,19,23,4,6,0.97,14.9,1.01,13,6,0,0.16,0.53,1,0,70.6,True
4,Wheat,30.8,29,29,1,1,0.9,14.7,0.89,13,0,0,0.12,0.7,1,0,478.6,True
6,Wheat,54.6,11,17,4,4,0.92,10.1,1.07,10,5,1,0.16,-0.47,0,1,51.3,True
4,Cotton,36.2,3,7,4,6,0.74,16.0,0.82,11,6,1,0.1,0.41,0,1,41.4,True
9,Maize,22.8,8,13,1,1,0.76,15.0,1.06,11,1,1,0.07,1.2,1,0,114.2,True
5,Cotton,16.0,20,26,2,3,0.89,10.4,1.08,9,4,0,0.1,1.31,1,0,94.2,True
6,Maize,9.9,28,30,3,3,0.86,10.6,0.95,16,2,0,0.1,0.37,0,1,127.3,True
5,Mustard,25.3,15,17,2,4,0.82,14.4,1.06,10,6,1,0.19,0.15,0,1,126.2,True
10,Wheat,30.1,17,17,3,4,0.77,16.4,1.03,13,0,0,0.12,-0.04,1,0,93.0,True
9,Wheat,9.5,20,28,1,2,0.98,12.4,0.86,16,5,0,0.17,0.29,0,1,318.2,True
4,Mustard,38.0,6,7,3,4,0.74,11.2,0.98,14,0,1,0.13,0.68,0,1,48.9,True
8,Mustard,25.8,18,19,1,2,0.73,14.0,1.03,10,2,1,0.1,0.14,1,0,252.5,True
8,Paddy,58.0,7,13,4,5,0.73,11.7,0.8,13,6,0,0.11,0.16,1,0,24.1,True
3,Maize,9.1,10,15,4,4,0.76,15.7,1.19,12,2,0,0.13,-0.36,0,1,57.6,True
10,Cotton,15.0,2,12,3,5,0.77,14.7,1.17,15,6,1,0.1,-0.12,1,0,11.9,True
1,Wheat,12.5,0,8,2,4,0.73,12.5,1.07,10,5,1,0.07,0.93,1,0,9.6,True
1,Wheat,14.0,19,27,2,4,0.99,17.1,0.95,11,4,1,0.19,1.15,1,0,175.3,True
5,Mustard,29.0,22,24,4,4,0.98,19.3,0.99,9,1,0,0.08,-0.17,1,0,102.8,True
6,Paddy,13.6,7,10,3,4,0.74,12.9,0.97,11,1,1,0.07,0.84,0,1,51.0,True
7,Wheat,41.2,3,6,1,3,0.88,12.0,1.11,17,3,0,0.06,-0.01,1,0,38.3,True
10,Cotton,40.6,23,27,3,5,0.89,11.1,1.14,8,6,0,0.12,0.78,1,0,77.4,True
3,Wheat,27.0,14,23,3,3,0.92,13.2,0.96,16,0,0,0.08,0.81,1,0,65.3,True
7,Paddy,48.1,16,16,2,4,0.85,12.4,1.01,13,1,0,0.13,0.14,1,0,92.4,True
4,Maize,25.3,9,10,4,6,0.83,17.5,0.87,17,1,0,0.07,0.86,0,1,70.5,True
4,Cotton,5.7,27,28,2,2,0.88,16.2,0.97,17,5,0,0.08,-0.21,0,1,250.1,True
8,Paddy,10.7,26,30,1,1,0.75,10.9,1.1,16,5,0,0.19,1.4,1,0,256.7,True
5,Paddy,36.3,24,28,1,3,0.8,18.6,0.92,11,3,1,0.12,0.18,1,0,483.0,True
8,Paddy,21.1,17,17,3,5,0.78,10.9,1.02,9,2,0,0.14,0.38,1,0,61.6,True
8,Cotton,55.8,21,29,1,1,0.88,11.6,0.9,8,6,0,0.13,1.44,1,0,267.6,True
9,Paddy,10.5,3,13,4,6,1.0,18.6,1.19,9,6,0,0.09,0.73,0,1,38.6,True
2,Wheat,35.4,3,7,4,6,0.96,13.8,1.01,10,4,1,0.12,1.22,0,1,38.6,True
5,Mustard,35.6,19,27,1,3,0.77,16.9,0.81,16,0,0,0.08,0.01,1,0,390.8,True
10,Maize,40.6,10,18,2,3,0.87,19.6,0.87,8,6,0,0.05,1.49,1,0,115.2,True
9,Mustard,48.3,28,29,3,4,0.93,10.9,1.11,17,0,0,0.07,1.05,0,1,112.3,True
9,Wheat,18.8,7,17,4,6,0.71,10.5,0.87,15,6,1,0.13,-0.17,1,0,18.9,True
2,Wheat,29.7,25,26,3,4,0.78,17.9,0.93,10,3,1,0.08,0.79,1,0,164.9,True
6,Mustard,8.9,19,29,3,5,0.83,10.4,0.94,8,6,0,0.13,0.66,1,0,68.9,True
10,Cotton,17.0,15,18,2,3,0.78,13.1,0.83,9,5,0,0.17,-0.29,1,0,116.1,True
2,Wheat,54.5,16,22,1,2,0.75,16.3,1.1,14,6,1,0.17,0.01,1,0,236.2,True
9,Maize,8.3,24,32,1,1,0.91,18.5,1.17,14,0,1,0.14,0.78,1,0,385.7,True
7,Mustard,56.2,30,33,3,3,0.86,17.2,0.94,16,3,0,0.09,1.41,0,1,212.1,True
8,Cotton,11.2,16,20,3,4,0.81,17.2,1.1,14,4,1,0.12,0.29,0,1,106.0,True
7,Wheat,8.1,14,18,3,3,0.94,17.6,0.83,17,6,0,0.17,-0.49,1,0,103.3,True
9,Cotton,19.6,21,31,4,6,0.89,17.0,1.17,9,1,0,0.12,1.29,0,1,101.2,True
